"","binary","cwe_checker","yara_rules","cve_bin_tool","size","compiler","static"
"107","dumpkeys",31,0,0,170520,"Unk","FALSE"
"108","ed",47,0,0,51512,"Unk","FALSE"
"109","edgepaint",324,0,0,422160,"Unk","FALSE"
"110","editcap",9,0,0,59488,"Unk","FALSE"
"111","editres",22,0,0,75296,"Unk","FALSE"
"112","eject",54,0,0,79952,"Unk","FALSE"
"113","engrampa",155,0,0,484264,"Unk","FALSE"
"114","eqn",106,0,0,206176,"gcc(3.X)","FALSE"
"115","etterfilter",35,0,0,56208,"Unk","FALSE"
"116","etterlog",13,0,0,52448,"Unk","FALSE"
"117","exiv2",373,0,0,229256,"gcc(3.X)","FALSE"
"118","exo-desktop-item-edit",1,0,0,80600,"Unk","FALSE"
"119","expr",168,0,0,117728,"Unk","FALSE"
"120","factor",54,0,0,81056,"Unk","FALSE"
"121","fastjar",59,0,0,51872,"Unk","FALSE"
"122","fidentify",93,5,0,328008,"Unk","FALSE"
"123","filan",74,0,0,94168,"Unk","FALSE"
"124","file",19,0,0,194976,"gcc(GNU)","TRUE"
"125","find",260,0,0,311008,"Unk","FALSE"
"126","findmnt",20,0,0,64784,"Unk","FALSE"
"127","fish",668,1,0,2691288,"gcc(Alpine)","FALSE"
"128","fiwalk",198,3,0,225160,"gcc(3.X)","FALSE"
"129","flac",96,0,0,206200,"Unk","FALSE"
"130","futility",191,6,0,244672,"Unk","TRUE"
"131","g-ir-compiler",360,0,0,191512,"Unk","FALSE"
"132","gatttool",212,0,0,342944,"Unk","FALSE"
"133","gawk",573,1,0,694624,"Unk","FALSE"
"134","gdbus",12,0,0,51440,"Unk","FALSE"
"135","generic_chunked",120,2,0,72192,"Unk","FALSE"
"136","generic_listen_tcp",116,2,0,72192,"Unk","FALSE"
"137","generic_send_tcp",116,2,0,72192,"Unk","FALSE"
"138","generic_send_udp",116,2,0,72192,"Unk","FALSE"
"139","generic_web_server_fuzz",120,2,0,72192,"Unk","FALSE"
"140","generic_web_server_fuzz2",120,2,0,72192,"Unk","FALSE"
"141","gio",47,0,0,88312,"Unk","FALSE"
"142","git",2702,5,0,3343280,"Unk","FALSE"
"143","git-shell",1939,5,0,1733608,"Unk","FALSE"
"144","gnome-keyring-daemon",229,0,0,1143712,"Unk","FALSE"
"145","gopherd",118,2,0,63992,"Unk","FALSE"
"146","gpasswd",69,0,0,88304,"Unk","FALSE"
"147","gpg",772,3,0,1099632,"Unk","FALSE"
"148","gpg-agent",369,1,0,410440,"Unk","FALSE"
"149","gpg-connect-agent",136,0,0,150400,"Unk","FALSE"
