,binary,cwe_checker,yara_rules,cve_bin_tool,size,compiler,static,domain
146,gpasswd,69,0,0,88304,Unk,FALSE,System
147,gpg,772,3,0,1099632,Unk,FALSE,Network
157,grep,186,1,0,219456,Unk,FALSE,System
158,grepjar,132,0,0,96896,Unk,FALSE,System
159,groff,184,0,0,124288,gcc(3.X),FALSE,System
160,grops,218,0,0,186144,gcc(3.X),FALSE,System
161,grotty,147,0,0,136608,gcc(3.X),FALSE,System
164,grub-fstest,317,11,18,932680,Unk,FALSE,System
179,gvmap,533,0,0,574040,Unk,FALSE,System
180,gzip,71,1,0,101560,Unk,FALSE,System
181,halflife,117,2,0,63992,Unk,FALSE,Network
182,hashcat,348,4,0,989408,Unk,FALSE,System
183,hashdeep,188,5,0,244120,gcc(3.X),FALSE,System
184,hciattach,54,0,0,182384,Unk,FALSE,Network
185,hciconfig,59,0,0,237776,Unk,FALSE,System
186,hcidump,107,0,0,533176,Unk,FALSE,Network
187,hcitool,69,0,0,192240,Unk,FALSE,Network
188,heartbleeder,1403,12,0,4251332,Unk,TRUE,Network
189,hexdump,29,0,0,55544,Unk,FALSE,System
190,hexeditor,82,0,0,84248,Unk,FALSE,System
191,host,72,0,0,105088,Unk,FALSE,Network
192,hotpatcher,27,1,0,51728,Unk,FALSE,Network
193,ht,235,6,0,2366800,gcc(GNU),TRUE,System
194,htop,71,0,0,490440,gcc(Alpine),FALSE,System
195,httptunnel-client,13,0,0,104752,gcc(-),TRUE,Network
197,hydra,669,6,0,378912,Unk,FALSE,Network
198,ico,2,0,0,52072,Unk,FALSE,System
199,iconv,40,0,0,60424,Unk,FALSE,System
200,ike-scan,73,0,0,118984,Unk,FALSE,Network
201,infocmp,68,0,0,63720,Unk,FALSE,System
202,innochecksum,296,2,0,3731640,gcc(-),FALSE,System
203,install,97,0,0,159528,Unk,FALSE,System
204,iostat,62,0,0,67904,Unk,FALSE,System
205,ip,205,1,0,558200,Unk,FALSE,Network
