binary, out
ntlm2, 2
ntlm_brute, 2
ntpdc, 0
ntpq, 0
numfmt, 0
obexctl, 0
objcopy, 4
objdump, 4
od, 0
onesixtyone, 0
openfortivpn, 0
openssl, 3
ophcrack, 3
ophcrack-cli, 3
out123, 0
pacat, 0
packetforge-ng, 3
packetq, 2
pactl, 0
parole, 0
partx, 0
passwd, 0
patch, 0
pavucontrol, 0
perl, 2
perl5.32.1, 2
perror, 1
photorec, 5
pic, 0
pidstat, 0
pinentry-curses, 0
pinentry-gnome3, 0
ping, 0
pixiewps, 2
pmspike, 2
post_fuzz, 2
post_spike, 2
pr, 0
preconv, 1
printf, 0
procan, 0
profiles, 0
proxytunnel, 1
ps, 0
pstat, 1
pth-curl, 3
ptx, 0
pulseaudio, 0
pv, 0
qt5ct, 0
quake, 2
quakeserver, 2
r2agent, 1
r2r, 1
rabin2, 1
radare2, 1
radiff2, 1
rafind2, 1
ragg2, 1
rahash2, 1
ranlib, 4
rarun2, 1
rasign2, 1
rasm2, 1
rawshark, 0
rax2, 1
rb, 2
rctest, 0
rdesktop, 4
rdf2bin, 2
rdma, 0
readelf, 0
readlink, 0
realpath, 0
rearj, 1
reaver, 9
recordmydesktop, 0
redir, 0
rendercheck, 0
replace, 1
resizepart, 0
resolvectl, 0
resolveip, 1
resolve_stack_dump, 1
rfcomm, 0
ristretto, 0
rm, 0
rmdir, 0
rpcclient, 0
rpcgen, 0
rsync, 1
rx, 2
rz, 2
sadf, 0
samba-regedit, 0
sane-find-scanner, 0
sar.sysstat, 0
sb, 2
sbd, 0
scalpel, 0
scanimage, 0
scp, 2
screen, 1
script, 0
scriptlive, 0
sdptool, 0
sed, 0
sendmsrpc, 2
seq, 0
sftp, 2
sha1deep, 5
sha1sum, 2
sha224sum, 1
sha256deep, 5
sha256sum, 1
sha384sum, 2
sha512sum, 2
sharkd, 0
shred, 0
shuf, 0
size, 4
skipfish, 1
smbclient, 0
smbcontrol, 0
snmpnetstat, 0
socat, 0
sort, 1
speech-dispatcher, 0
split, 0
spooftooph, 0
sqldiff, 4
sqlite3, 5
sqsh, 1
ss, 0
ssh, 5
ssh-add, 3
ssh-agent, 3
ssh-keygen, 4
ssh-keyscan, 4
sslsplit, 0
ss_spike, 2
stat, 0
statd_spike, 2
stdbuf, 0
strace, 0
strings, 4
stty, 0
stunnel4, 0
su, 0
sudo, 0
sudoreplay, 3
sunrpcfuzz, 2
svn, 3
svnadmin, 0
svnbench, 0
svnlook, 0
svnrdump, 0
svnserve, 0
sx, 2
systemctl, 0
systemd-analyze, 1
systemd-hwdb, 3
systemd-mount, 0
systemd-run, 0
systemd-sysusers, 0
systemd-tmpfiles, 0
sz, 2
tac, 0
tail, 0
tapestat, 0
tar, 2
tbl, 0
tcpbridge, 0
tcpcapinfo, 0
tcpdump, 0
tcpliveplay, 0
tcpprep, 0
tcpreplay, 0
tcpreplay-edit, 0
tcprewrite, 0
telnet.netkit, 0
test, 0
testdisk, 2
text2pcap, 1
thunar, 0
tic, 0
tigerdeep, 5
tmux, 0
top, 0
touch, 0
tpmc, 4
tr, 0
traceroute.db, 0
troff, 0
trust, 4
tshark, 0
tsk_comparedir, 0
tsk_gettimes, 0
tsk_loaddb, 0
tsk_recover, 0
tsort, 0
udevadm, 3
udisksctl, 0
umax_pp, 0
uniq, 0
unix2dos, 0
unrar-nonfree, 4
unsquashfs, 0
unzip, 1
unzipsfx, 1
update-alternatives, 0
update-mime-database, 0
upx-ucl, 3
VBoxClient, 10
vdir, 0
vim, 6
vim.basic, 5
vim.tiny, 0
voiphopper, 0
vsyasm, 3
wash, 9
wdctl, 0
webfuzz, 2
wg, 0
wget, 5
whatis, 0
whirlpooldeep, 5
who, 0
whois, 0
winexe, 3
wpa_passphrase, 0
x11perf, 0
x11_spike, 2
x86_64-linux-gnu-ar, 0
x86_64-linux-gnu-as, 1
x86_64-linux-gnu-c++filt, 0
x86_64-linux-gnu-cpp-10, 2
x86_64-linux-gnu-g++-10, 2
x86_64-linux-gnu-gcc-10, 2
x86_64-linux-gnu-gcov-dump-10, 2
x86_64-linux-gnu-gcov-tool-10, 2
x86_64-linux-gnu-gprof, 0
x86_64-linux-gnu-ld.bfd, 5
x86_64-linux-gnu-ld.gold, 6
x86_64-linux-gnu-objcopy, 0
x86_64-linux-gnu-objdump, 2
x86_64-linux-gnu-ranlib, 0
x86_64-linux-gnu-readelf, 2
x86_64-linux-gnu-strip, 0
xargs, 0
xauth, 0
xclock, 0
xdg-dbus-proxy, 0
xditview, 0
xdotool, 0
xedit, 0
xfce4-about, 0
xfce4-accessibility-settings, 0
xfce4-appearance-settings, 0
xfce4-appfinder, 0
xfce4-clipman, 0
xfce4-clipman-history, 0
xfce4-clipman-settings, 0
xfce4-color-settings, 0
xfce4-display-settings, 1
xfce4-keyboard-settings, 0
xfce4-mime-helper, 0
xfce4-mime-settings, 0
xfce4-mouse-settings, 0
xfce4-notifyd-config, 0
xfce4-panel, 0
xfce4-power-manager, 0
xfce4-power-manager-settings, 0
xfce4-screenshooter, 0
xfce4-session, 0
xfce4-session-settings, 0
xfce4-settings-editor, 0
xfce4-taskmanager, 0
xfdesktop, 0
xfdesktop-settings, 0
xfreerdp, 1
xfsettingsd, 1
xfwm4, 0
xfwm4-settings, 0
xfwm4-workspace-settings, 0
xgc, 0
xhydra, 0
xkbcomp, 0
xkbprint, 1
xman, 0
xmllint, 0
xprop, 0
xrandr, 0
xsm, 0
Xtightvnc, 0
xtightvncviewer, 0
Xvfb, 1
xwininfo, 0
xz, 0
yasm, 3
ytasm, 3
zenity, 0
zip, 1
zipcloak, 1
zipinfo, 1
zipnote, 1
zipsplit, 1
zsh, 1
[, 0
